day	hour	value
1	1	2
1	2	1
1	3	1
1	4	5
1	5	1
1	6	4
1	7	2
1	8	5
1	9	5
1	10	12
1	11	11
1	12	9
1	13	16
1	14	13
1	15	11
1	16	3
1	17	7
1	18	13
1	19	14
1	20	5
1	21	5
1	22	6
1	23	15
1	24	2
2	1	3
2	2	5
2	3	1
2	4	2
2	5	2
2	6	3
2	7	7
2	8	11
2	9	13
2	10	16
2	11	24
2	12	15
2	13	16
2	14	16
2	15	12
2	16	4
2	17	14
2	18	8
2	19	11
2	20	2
2	21	7
2	22	9
2	23	5
2	24	5
3	1	3
3	2	2
3	3	1
3	4	2
3	5	4
3	6	2
3	7	8
3	8	20
3	9	16
3	10	13
3	11	18
3	12	10
3	13	14
3	14	14
3	15	7
3	16	12
3	17	13
3	18	9
3	19	9
3	20	10
3	21	13
3	22	11
3	23	5
3	24	3
4	1	5
4	2	5
4	3	4
4	4	0
4	5	0
4	6	5
4	7	15
4	8	11
4	9	20
4	10	9
4	11	8
4	12	19
4	13	6
4	14	9
4	15	12
4	16	9
4	17	16
4	18	8
4	19	10
4	20	5
4	21	14
4	22	15
4	23	3
4	24	4
5	1	5
5	2	4
5	3	1
5	4	2
5	5	2
5	6	4
5	7	9
5	8	11
5	9	11
5	10	16
5	11	13
5	12	10
5	13	6
5	14	9
5	15	10
5	16	8
5	17	10
5	18	11
5	19	12
5	20	11
5	21	13
5	22	9
5	23	4
5	24	2
6	1	8
6	2	3
6	3	5
6	4	7
6	5	1
6	6	3
6	7	12
6	8	13
6	9	10
6	10	9
6	11	7
6	12	17
6	13	14
6	14	3
6	15	4
6	16	14
6	17	10
6	18	8
6	19	7
6	20	10
6	21	13
6	22	5
6	23	5
6	24	4
7	1	5
7	2	7
7	3	8
7	4	5
7	5	5
7	6	4
7	7	4
7	8	6
7	9	17
7	10	10
7	11	8
7	12	22
7	13	14
7	14	11
7	15	12
7	16	7
7	17	13
7	18	12
7	19	11
7	20	10
7	21	13
7	22	5
7	23	9
7	24	3
