day	hour	value
1	1	6
1	2	4
1	3	4
1	4	4
1	5	4
1	6	5
1	7	2
1	8	6
1	9	6
1	10	10
1	11	13
1	12	18
1	13	19
1	14	15
1	15	15
1	16	11
1	17	7
1	18	10
1	19	14
1	20	11
1	21	12
1	22	8
1	23	4
1	24	9
2	1	5
2	2	6
2	3	2
2	4	2
2	5	2
2	6	7
2	7	12
2	8	21
2	9	15
2	10	11
2	11	13
2	12	5
2	13	15
2	14	20
2	15	15
2	16	15
2	17	12
2	18	17
2	19	10
2	20	16
2	21	10
2	22	6
2	23	8
2	24	4
3	1	6
3	2	4
3	3	4
3	4	2
3	5	2
3	6	6
3	7	6
3	8	19
3	9	16
3	10	9
3	11	10
3	12	10
3	13	12
3	14	15
3	15	15
3	16	11
3	17	10
3	18	11
3	19	16
3	20	11
3	21	13
3	22	6
3	23	5
3	24	10
4	1	6
4	2	7
4	3	2
4	4	1
4	5	4
4	6	4
4	7	8
4	8	8
4	9	21
4	10	16
4	11	13
4	12	13
4	13	12
4	14	9
4	15	6
4	16	14
4	17	8
4	18	15
4	19	7
4	20	3
4	21	12
4	22	4
4	23	12
4	24	6
5	1	5
5	2	4
5	3	7
5	4	3
5	5	2
5	6	6
5	7	4
5	8	13
5	9	9
5	10	12
5	11	12
5	12	12
5	13	11
5	14	10
5	15	7
5	16	11
5	17	11
5	18	7
5	19	16
5	20	8
5	21	12
5	22	7
5	23	6
5	24	6
6	1	13
6	2	3
6	3	5
6	4	0
6	5	3
6	6	8
6	7	6
6	8	10
6	9	21
6	10	12
6	11	16
6	12	13
6	13	7
6	14	12
6	15	11
6	16	6
6	17	8
6	18	7
6	19	8
6	20	11
6	21	11
6	22	7
6	23	5
6	24	8
7	1	5
7	2	6
7	3	6
7	4	8
7	5	4
7	6	2
7	7	1
7	8	6
7	9	10
7	10	11
7	11	8
7	12	20
7	13	16
7	14	18
7	15	11
7	16	12
7	17	12
7	18	7
7	19	5
7	20	15
7	21	9
7	22	8
7	23	7
7	24	12
