"","61","62","63","64","65","66","73","74","74.01","74.02","75","76","77","78","79","83","84","85","86","87","88","90","91"
"ASSLT-AGG-BODYFORCE",2,4,0,1,1,2,0,26,11,28,168,4,6,2,8,0,84,22,30,2,2,3,5
"ASSLT-AGG-GUN",1,1,0,0,1,0,0,2,1,4,17,4,5,1,2,0,12,8,6,5,6,2,3
"ASSLT-AGG-POLICE-BODYFORCE",0,0,0,0,0,0,0,0,1,2,5,1,0,1,2,0,1,0,0,0,1,0,0
"ASSLT-AGG-POLICE-WEAPON",0,0,0,0,0,0,0,1,2,3,13,0,0,0,0,0,2,0,0,0,0,0,0
"ASSLT-AGG-WEAPON",15,8,6,2,9,9,1,56,28,50,195,13,11,9,39,1,136,38,55,15,13,4,22
"ASSLT-NONAGG",21,28,28,16,26,6,1,148,83,186,917,58,64,30,145,1,487,289,228,60,26,16,45
"ASSLT-NONAGG-POLICE",2,2,3,1,2,0,0,8,8,8,60,1,3,0,4,0,23,9,4,2,1,0,4
"ASSLT-OTHER",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"BURGLARY-FORCE-NONRES",109,41,64,16,40,16,0,51,28,62,199,45,80,52,72,0,93,8,53,16,6,14,39
"BURGLARY-FORCE-RES",141,181,101,134,174,55,0,78,79,68,163,139,309,183,134,0,45,19,88,91,62,0,14
"BURGLARY-NOFORCE-NONRES",48,20,36,21,29,16,0,52,35,44,179,28,25,23,51,0,89,13,50,9,3,1,8
"BURGLARY-NOFORCE-RES",125,124,154,100,154,38,0,130,111,115,202,95,142,120,156,0,83,31,98,64,35,0,14
"BURGLARY-OTHER",1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,0
"BURGLARY-SECURE PARKING-NONRES",6,1,0,1,2,0,0,18,8,9,18,0,3,2,8,0,14,4,3,1,0,0,0
"BURGLARY-SECURE PARKING-RES",98,13,19,10,74,51,0,197,119,138,219,30,17,9,72,0,114,8,34,7,2,0,5
"DUI-DRUGS",0,2,2,0,0,0,0,1,1,1,8,0,0,0,0,0,5,0,2,0,0,0,0
"DUI-LIQUOR",4,8,1,2,7,2,0,5,4,6,45,8,4,1,4,0,18,2,12,1,4,1,3
"HARASSMENT",28,23,49,21,30,10,0,63,41,73,173,42,62,18,77,0,101,55,66,30,7,5,10
"MALICIOUS HARASSMENT",0,0,0,1,0,0,0,3,0,4,16,0,0,1,6,0,11,3,3,1,0,0,1
"ROBBERY-BANK-BODYFORCE",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ROBBERY-BANK-GUN",0,0,0,0,2,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ROBBERY-BANK-OTHER",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROBBERY-BANK-WEAPON",0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ROBBERY-BUSINESS-BODYFORCE",2,2,0,0,1,0,0,15,11,15,62,3,2,1,19,0,63,2,5,1,4,0,2
"ROBBERY-BUSINESS-GUN",0,2,3,0,2,0,0,1,1,1,4,2,3,0,1,0,6,0,0,1,1,2,1
"ROBBERY-BUSINESS-WEAPON",0,0,0,0,0,0,0,4,2,4,15,0,4,0,12,0,21,0,3,0,1,1,1
"ROBBERY-OTHER",0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,1,0
"ROBBERY-RESIDENCE-BODYFORCE",0,0,2,0,0,0,0,2,2,4,2,1,1,1,8,0,5,1,3,1,1,0,2
"ROBBERY-RESIDENCE-GUN",2,0,0,0,0,0,0,1,1,2,2,1,3,0,2,0,0,1,3,1,0,0,0
"ROBBERY-RESIDENCE-WEAPON",1,1,0,0,0,0,0,1,0,3,2,1,1,3,0,0,2,2,3,2,0,0,0
"ROBBERY-STREET-BODYFORCE",3,6,1,8,13,2,2,38,24,39,211,23,27,4,53,1,131,14,69,42,21,10,38
"ROBBERY-STREET-GUN",0,1,2,2,4,0,1,10,5,8,54,10,16,6,26,0,22,4,25,10,10,1,7
"ROBBERY-STREET-WEAPON",3,4,2,2,1,4,0,6,7,12,39,2,8,1,12,0,27,5,16,5,5,2,14
"THEFT-PKPOCKET",2,6,2,2,1,0,0,6,8,15,202,4,4,0,15,0,105,14,9,1,1,1,4
