day	hour	value
1	1	12
1	2	6
1	3	9
1	4	10
1	5	2
1	6	3
1	7	4
1	8	10
1	9	12
1	10	15
1	11	6
1	12	13
1	13	14
1	14	11
1	15	12
1	16	13
1	17	13
1	18	10
1	19	7
1	20	9
1	21	10
1	22	10
1	23	5
1	24	9
2	1	2
2	2	4
2	3	4
2	4	4
2	5	2
2	6	3
2	7	12
2	8	16
2	9	12
2	10	18
2	11	20
2	12	14
2	13	15
2	14	15
2	15	15
2	16	13
2	17	9
2	18	11
2	19	14
2	20	8
2	21	5
2	22	10
2	23	7
2	24	3
3	1	8
3	2	4
3	3	5
3	4	4
3	5	2
3	6	5
3	7	10
3	8	16
3	9	13
3	10	12
3	11	13
3	12	18
3	13	13
3	14	13
3	15	8
3	16	9
3	17	10
3	18	9
3	19	14
3	20	9
3	21	10
3	22	11
3	23	6
3	24	3
4	1	4
4	2	3
4	3	4
4	4	0
4	5	7
4	6	6
4	7	4
4	8	14
4	9	18
4	10	16
4	11	27
4	12	11
4	13	9
4	14	9
4	15	5
4	16	7
4	17	16
4	18	8
4	19	13
4	20	14
4	21	14
4	22	7
4	23	5
4	24	10
5	1	2
5	2	9
5	3	2
5	4	3
5	5	3
5	6	1
5	7	6
5	8	17
5	9	15
5	10	10
5	11	8
5	12	14
5	13	12
5	14	9
5	15	11
5	16	9
5	17	19
5	18	13
5	19	8
5	20	12
5	21	10
5	22	4
5	23	10
5	24	4
6	1	6
6	2	5
6	3	0
6	4	3
6	5	2
6	6	1
6	7	7
6	8	9
6	9	12
6	10	11
6	11	10
6	12	17
6	13	10
6	14	12
6	15	9
6	16	8
6	17	6
6	18	5
6	19	11
6	20	11
6	21	5
6	22	5
6	23	6
6	24	6
7	1	6
7	2	1
7	3	4
7	4	6
7	5	8
7	6	6
7	7	5
7	8	6
7	9	12
7	10	17
7	11	9
7	12	12
7	13	12
7	14	17
7	15	8
7	16	10
7	17	10
7	18	11
7	19	9
7	20	7
7	21	9
7	22	5
7	23	3
7	24	8
