day	hour	value
1	1	4
1	2	4
1	3	6
1	4	5
1	5	4
1	6	2
1	7	3
1	8	6
1	9	10
1	10	18
1	11	7
1	12	11
1	13	11
1	14	10
1	15	11
1	16	6
1	17	11
1	18	6
1	19	9
1	20	4
1	21	9
1	22	9
1	23	1
1	24	1
2	1	9
2	2	1
2	3	2
2	4	2
2	5	4
2	6	2
2	7	6
2	8	8
2	9	15
2	10	12
2	11	18
2	12	12
2	13	14
2	14	12
2	15	10
2	16	9
2	17	18
2	18	8
2	19	10
2	20	13
2	21	4
2	22	6
2	23	5
2	24	4
3	1	7
3	2	3
3	3	3
3	4	2
3	5	3
3	6	4
3	7	5
3	8	12
3	9	15
3	10	9
3	11	16
3	12	12
3	13	9
3	14	8
3	15	12
3	16	11
3	17	8
3	18	7
3	19	13
3	20	6
3	21	7
3	22	8
3	23	3
3	24	3
4	1	2
4	2	5
4	3	0
4	4	3
4	5	3
4	6	6
4	7	3
4	8	7
4	9	19
4	10	5
4	11	16
4	12	11
4	13	6
4	14	6
4	15	10
4	16	11
4	17	9
4	18	10
4	19	17
4	20	11
4	21	4
4	22	8
4	23	7
4	24	5
5	1	5
5	2	3
5	3	1
5	4	1
5	5	2
5	6	5
5	7	9
5	8	7
5	9	13
5	10	11
5	11	11
5	12	8
5	13	11
5	14	10
5	15	3
5	16	8
5	17	16
5	18	12
5	19	14
5	20	6
5	21	8
5	22	8
5	23	7
5	24	1
6	1	1
6	2	5
6	3	2
6	4	1
6	5	2
6	6	3
6	7	7
6	8	16
6	9	9
6	10	21
6	11	11
6	12	13
6	13	13
6	14	9
6	15	9
6	16	9
6	17	9
6	18	5
6	19	8
6	20	6
6	21	10
6	22	2
6	23	9
6	24	5
7	1	7
7	2	5
7	3	7
7	4	10
7	5	2
7	6	4
7	7	2
7	8	8
7	9	11
7	10	14
7	11	11
7	12	18
7	13	20
7	14	8
7	15	8
7	16	7
7	17	11
7	18	7
7	19	4
7	20	6
7	21	5
7	22	6
7	23	12
7	24	3
