day	hour	value
1	1	9
1	2	3
1	3	6
1	4	4
1	5	5
1	6	2
1	7	3
1	8	7
1	9	15
1	10	13
1	11	11
1	12	19
1	13	18
1	14	14
1	15	11
1	16	17
1	17	12
1	18	12
1	19	10
1	20	9
1	21	9
1	22	4
1	23	6
1	24	2
2	1	4
2	2	3
2	3	2
2	4	7
2	5	7
2	6	3
2	7	6
2	8	7
2	9	16
2	10	21
2	11	23
2	12	18
2	13	12
2	14	16
2	15	19
2	16	13
2	17	18
2	18	12
2	19	15
2	20	11
2	21	12
2	22	11
2	23	7
2	24	5
3	1	4
3	2	7
3	3	4
3	4	1
3	5	5
3	6	5
3	7	9
3	8	16
3	9	20
3	10	19
3	11	20
3	12	12
3	13	21
3	14	11
3	15	11
3	16	10
3	17	16
3	18	10
3	19	9
3	20	15
3	21	11
3	22	5
3	23	5
3	24	8
4	1	3
4	2	6
4	3	4
4	4	1
4	5	2
4	6	8
4	7	11
4	8	14
4	9	19
4	10	10
4	11	26
4	12	16
4	13	11
4	14	10
4	15	9
4	16	7
4	17	11
4	18	6
4	19	13
4	20	10
4	21	9
4	22	14
4	23	10
4	24	2
5	1	6
5	2	6
5	3	1
5	4	5
5	5	3
5	6	4
5	7	10
5	8	15
5	9	16
5	10	19
5	11	11
5	12	13
5	13	10
5	14	17
5	15	12
5	16	16
5	17	13
5	18	14
5	19	23
5	20	10
5	21	12
5	22	7
5	23	3
5	24	4
6	1	6
6	2	5
6	3	2
6	4	1
6	5	4
6	6	6
6	7	8
6	8	13
6	9	19
6	10	13
6	11	14
6	12	16
6	13	10
6	14	30
6	15	14
6	16	9
6	17	16
6	18	10
6	19	16
6	20	15
6	21	4
6	22	6
6	23	11
6	24	7
7	1	2
7	2	9
7	3	11
7	4	5
7	5	1
7	6	2
7	7	1
7	8	4
7	9	9
7	10	16
7	11	18
7	12	15
7	13	14
7	14	13
7	15	16
7	16	16
7	17	14
7	18	5
7	19	10
7	20	8
7	21	16
7	22	8
7	23	8
7	24	4
