day	hour	value
1	1	2
1	2	7
1	3	12
1	4	7
1	5	5
1	6	8
1	7	7
1	8	4
1	9	9
1	10	13
1	11	13
1	12	20
1	13	16
1	14	16
1	15	11
1	16	22
1	17	16
1	18	9
1	19	8
1	20	13
1	21	18
1	22	6
1	23	7
1	24	9
2	1	3
2	2	3
2	3	3
2	4	1
2	5	5
2	6	6
2	7	8
2	8	24
2	9	14
2	10	26
2	11	20
2	12	21
2	13	20
2	14	20
2	15	12
2	16	8
2	17	10
2	18	12
2	19	14
2	20	12
2	21	11
2	22	9
2	23	14
2	24	9
3	1	6
3	2	4
3	3	2
3	4	7
3	5	3
3	6	4
3	7	9
3	8	15
3	9	20
3	10	17
3	11	17
3	12	15
3	13	14
3	14	8
3	15	15
3	16	13
3	17	16
3	18	19
3	19	14
3	20	10
3	21	11
3	22	12
3	23	9
3	24	8
4	1	0
4	2	8
4	3	4
4	4	4
4	5	4
4	6	4
4	7	12
4	8	8
4	9	20
4	10	12
4	11	22
4	12	14
4	13	12
4	14	17
4	15	9
4	16	24
4	17	11
4	18	11
4	19	14
4	20	14
4	21	16
4	22	13
4	23	10
4	24	8
5	1	6
5	2	5
5	3	8
5	4	4
5	5	2
5	6	4
5	7	12
5	8	19
5	9	16
5	10	15
5	11	19
5	12	11
5	13	16
5	14	18
5	15	12
5	16	5
5	17	14
5	18	12
5	19	9
5	20	14
5	21	16
5	22	6
5	23	13
5	24	10
6	1	6
6	2	5
6	3	7
6	4	3
6	5	5
6	6	1
6	7	3
6	8	18
6	9	14
6	10	19
6	11	12
6	12	15
6	13	14
6	14	7
6	15	14
6	16	16
6	17	15
6	18	9
6	19	13
6	20	11
6	21	13
6	22	8
6	23	4
6	24	6
7	1	11
7	2	7
7	3	12
7	4	6
7	5	2
7	6	3
7	7	3
7	8	6
7	9	12
7	10	16
7	11	17
7	12	14
7	13	20
7	14	27
7	15	9
7	16	4
7	17	15
7	18	4
7	19	14
7	20	10
7	21	6
7	22	7
7	23	4
7	24	8
