day	hour	value
1	1	6
1	2	8
1	3	3
1	4	4
1	5	4
1	6	3
1	7	4
1	8	5
1	9	13
1	10	12
1	11	14
1	12	16
1	13	15
1	14	11
1	15	11
1	16	11
1	17	16
1	18	12
1	19	9
1	20	9
1	21	8
1	22	9
1	23	13
1	24	9
2	1	6
2	2	5
2	3	5
2	4	2
2	5	1
2	6	4
2	7	14
2	8	21
2	9	26
2	10	19
2	11	19
2	12	12
2	13	12
2	14	12
2	15	11
2	16	7
2	17	13
2	18	10
2	19	18
2	20	12
2	21	16
2	22	12
2	23	6
2	24	7
3	1	8
3	2	4
3	3	4
3	4	5
3	5	2
3	6	4
3	7	7
3	8	13
3	9	12
3	10	10
3	11	8
3	12	17
3	13	14
3	14	15
3	15	12
3	16	5
3	17	8
3	18	7
3	19	17
3	20	8
3	21	8
3	22	10
3	23	9
3	24	8
4	1	3
4	2	6
4	3	2
4	4	5
4	5	2
4	6	7
4	7	11
4	8	16
4	9	21
4	10	8
4	11	12
4	12	8
4	13	18
4	14	13
4	15	10
4	16	14
4	17	12
4	18	3
4	19	7
4	20	6
4	21	16
4	22	17
4	23	8
4	24	5
5	1	6
5	2	6
5	3	2
5	4	5
5	5	1
5	6	3
5	7	7
5	8	7
5	9	17
5	10	17
5	11	15
5	12	15
5	13	7
5	14	16
5	15	13
5	16	10
5	17	16
5	18	12
5	19	11
5	20	7
5	21	17
5	22	16
5	23	6
5	24	5
6	1	2
6	2	7
6	3	4
6	4	7
6	5	8
6	6	6
6	7	9
6	8	13
6	9	17
6	10	14
6	11	7
6	12	9
6	13	14
6	14	11
6	15	13
6	16	13
6	17	13
6	18	7
6	19	14
6	20	9
6	21	11
6	22	13
6	23	7
6	24	8
7	1	2
7	2	3
7	3	4
7	4	8
7	5	3
7	6	3
7	7	2
7	8	7
7	9	13
7	10	18
7	11	10
7	12	12
7	13	18
7	14	10
7	15	10
7	16	15
7	17	8
7	18	16
7	19	10
7	20	7
7	21	9
7	22	6
7	23	13
7	24	8
