day	hour	value
1	1	9
1	2	1
1	3	11
1	4	1
1	5	3
1	6	1
1	7	4
1	8	7
1	9	9
1	10	9
1	11	6
1	12	12
1	13	20
1	14	12
1	15	8
1	16	10
1	17	8
1	18	6
1	19	10
1	20	8
1	21	14
1	22	6
1	23	2
1	24	8
2	1	3
2	2	3
2	3	2
2	4	2
2	5	0
2	6	4
2	7	5
2	8	12
2	9	17
2	10	21
2	11	13
2	12	12
2	13	14
2	14	17
2	15	8
2	16	17
2	17	9
2	18	6
2	19	10
2	20	9
2	21	14
2	22	8
2	23	5
2	24	2
3	1	4
3	2	7
3	3	1
3	4	2
3	5	6
3	6	3
3	7	9
3	8	10
3	9	20
3	10	4
3	11	10
3	12	11
3	13	10
3	14	9
3	15	9
3	16	10
3	17	9
3	18	8
3	19	6
3	20	9
3	21	7
3	22	7
3	23	1
3	24	2
4	1	2
4	2	3
4	3	2
4	4	3
4	5	1
4	6	5
4	7	5
4	8	11
4	9	15
4	10	12
4	11	16
4	12	6
4	13	11
4	14	7
4	15	7
4	16	5
4	17	7
4	18	10
4	19	5
4	20	10
4	21	8
4	22	5
4	23	4
4	24	1
5	1	3
5	2	0
5	3	3
5	4	1
5	5	0
5	6	4
5	7	7
5	8	11
5	9	17
5	10	10
5	11	13
5	12	14
5	13	14
5	14	13
5	15	12
5	16	10
5	17	5
5	18	4
5	19	10
5	20	10
5	21	7
5	22	6
5	23	2
5	24	5
6	1	3
6	2	3
6	3	2
6	4	2
6	5	0
6	6	5
6	7	9
6	8	14
6	9	11
6	10	16
6	11	12
6	12	10
6	13	14
6	14	1
6	15	6
6	16	2
6	17	12
6	18	6
6	19	7
6	20	6
6	21	5
6	22	5
6	23	4
6	24	3
7	1	4
7	2	8
7	3	2
7	4	5
7	5	4
7	6	2
7	7	2
7	8	5
7	9	9
7	10	12
7	11	18
7	12	7
7	13	12
7	14	8
7	15	11
7	16	12
7	17	13
7	18	5
7	19	8
7	20	8
7	21	6
7	22	3
7	23	5
7	24	6
