day	hour	value
1	1	7
1	2	6
1	3	3
1	4	12
1	5	6
1	6	1
1	7	6
1	8	8
1	9	16
1	10	10
1	11	19
1	12	11
1	13	13
1	14	20
1	15	17
1	16	15
1	17	11
1	18	10
1	19	8
1	20	6
1	21	10
1	22	11
1	23	9
1	24	3
2	1	5
2	2	2
2	3	4
2	4	1
2	5	3
2	6	3
2	7	7
2	8	11
2	9	23
2	10	17
2	11	14
2	12	12
2	13	12
2	14	11
2	15	11
2	16	8
2	17	11
2	18	2
2	19	9
2	20	4
2	21	11
2	22	9
2	23	10
2	24	4
3	1	4
3	2	4
3	3	1
3	4	3
3	5	1
3	6	3
3	7	11
3	8	20
3	9	11
3	10	12
3	11	13
3	12	6
3	13	14
3	14	13
3	15	5
3	16	8
3	17	15
3	18	8
3	19	14
3	20	11
3	21	8
3	22	2
3	23	10
3	24	3
4	1	7
4	2	2
4	3	4
4	4	2
4	5	0
4	6	5
4	7	10
4	8	21
4	9	10
4	10	15
4	11	11
4	12	6
4	13	16
4	14	9
4	15	10
4	16	10
4	17	9
4	18	10
4	19	11
4	20	9
4	21	5
4	22	11
4	23	8
4	24	8
5	1	4
5	2	4
5	3	3
5	4	3
5	5	1
5	6	5
5	7	8
5	8	18
5	9	16
5	10	17
5	11	8
5	12	7
5	13	11
5	14	6
5	15	13
5	16	10
5	17	5
5	18	13
5	19	14
5	20	7
5	21	9
5	22	10
5	23	8
5	24	8
6	1	8
6	2	5
6	3	5
6	4	3
6	5	4
6	6	4
6	7	9
6	8	9
6	9	12
6	10	26
6	11	13
6	12	8
6	13	18
6	14	12
6	15	9
6	16	8
6	17	8
6	18	7
6	19	6
6	20	5
6	21	7
6	22	10
6	23	8
6	24	4
7	1	8
7	2	2
7	3	5
7	4	7
7	5	5
7	6	4
7	7	4
7	8	5
7	9	10
7	10	7
7	11	12
7	12	20
7	13	8
7	14	15
7	15	11
7	16	12
7	17	13
7	18	11
7	19	7
7	20	7
7	21	3
7	22	8
7	23	9
7	24	9
