day	hour	value
1	1	7
1	2	4
1	3	2
1	4	5
1	5	6
1	6	4
1	7	10
1	8	12
1	9	12
1	10	15
1	11	23
1	12	16
1	13	20
1	14	24
1	15	15
1	16	8
1	17	12
1	18	10
1	19	10
1	20	3
1	21	19
1	22	11
1	23	11
1	24	13
2	1	8
2	2	3
2	3	7
2	4	3
2	5	1
2	6	8
2	7	8
2	8	10
2	9	19
2	10	20
2	11	16
2	12	23
2	13	26
2	14	15
2	15	10
2	16	11
2	17	14
2	18	8
2	19	16
2	20	8
2	21	18
2	22	13
2	23	12
2	24	11
3	1	3
3	2	6
3	3	3
3	4	4
3	5	4
3	6	0
3	7	9
3	8	17
3	9	20
3	10	11
3	11	16
3	12	12
3	13	25
3	14	14
3	15	14
3	16	13
3	17	18
3	18	12
3	19	16
3	20	10
3	21	13
3	22	11
3	23	7
3	24	6
4	1	4
4	2	4
4	3	1
4	4	4
4	5	5
4	6	8
4	7	7
4	8	9
4	9	19
4	10	16
4	11	17
4	12	14
4	13	10
4	14	12
4	15	8
4	16	10
4	17	12
4	18	10
4	19	18
4	20	10
4	21	9
4	22	14
4	23	8
4	24	11
5	1	4
5	2	4
5	3	4
5	4	2
5	5	2
5	6	0
5	7	7
5	8	18
5	9	12
5	10	18
5	11	15
5	12	16
5	13	19
5	14	7
5	15	11
5	16	6
5	17	10
5	18	9
5	19	12
5	20	6
5	21	10
5	22	15
5	23	18
5	24	6
6	1	7
6	2	6
6	3	8
6	4	7
6	5	3
6	6	4
6	7	1
6	8	10
6	9	17
6	10	15
6	11	16
6	12	19
6	13	12
6	14	12
6	15	8
6	16	9
6	17	13
6	18	12
6	19	8
6	20	17
6	21	10
6	22	11
6	23	7
6	24	9
7	1	14
7	2	7
7	3	4
7	4	5
7	5	4
7	6	5
7	7	6
7	8	9
7	9	15
7	10	12
7	11	18
7	12	17
7	13	21
7	14	24
7	15	20
7	16	14
7	17	15
7	18	11
7	19	16
7	20	11
7	21	13
7	22	18
7	23	5
7	24	10
