day	hour	value
1	1	9
1	2	5
1	3	6
1	4	12
1	5	8
1	6	3
1	7	4
1	8	8
1	9	15
1	10	19
1	11	20
1	12	16
1	13	18
1	14	16
1	15	13
1	16	11
1	17	11
1	18	9
1	19	17
1	20	4
1	21	11
1	22	16
1	23	8
1	24	10
2	1	7
2	2	7
2	3	4
2	4	5
2	5	2
2	6	3
2	7	9
2	8	14
2	9	26
2	10	24
2	11	23
2	12	18
2	13	25
2	14	16
2	15	14
2	16	13
2	17	9
2	18	12
2	19	21
2	20	15
2	21	11
2	22	12
2	23	12
2	24	5
3	1	7
3	2	0
3	3	5
3	4	1
3	5	3
3	6	8
3	7	8
3	8	12
3	9	21
3	10	15
3	11	19
3	12	11
3	13	15
3	14	13
3	15	15
3	16	6
3	17	13
3	18	13
3	19	16
3	20	11
3	21	24
3	22	13
3	23	9
3	24	9
4	1	6
4	2	2
4	3	5
4	4	3
4	5	5
4	6	0
4	7	7
4	8	22
4	9	22
4	10	18
4	11	20
4	12	14
4	13	19
4	14	17
4	15	18
4	16	6
4	17	18
4	18	17
4	19	10
4	20	19
4	21	19
4	22	19
4	23	12
4	24	6
5	1	8
5	2	4
5	3	6
5	4	4
5	5	3
5	6	2
5	7	13
5	8	23
5	9	15
5	10	18
5	11	9
5	12	14
5	13	12
5	14	26
5	15	11
5	16	14
5	17	7
5	18	11
5	19	21
5	20	15
5	21	16
5	22	15
5	23	11
5	24	7
6	1	10
6	2	9
6	3	3
6	4	3
6	5	5
6	6	5
6	7	9
6	8	19
6	9	14
6	10	13
6	11	24
6	12	24
6	13	21
6	14	23
6	15	15
6	16	16
6	17	14
6	18	15
6	19	12
6	20	10
6	21	8
6	22	12
6	23	10
6	24	10
7	1	12
7	2	9
7	3	12
7	4	7
7	5	5
7	6	4
7	7	7
7	8	11
7	9	11
7	10	20
7	11	26
7	12	18
7	13	26
7	14	14
7	15	18
7	16	19
7	17	8
7	18	3
7	19	13
7	20	7
7	21	16
7	22	8
7	23	10
7	24	9
