day	hour	value
1	1	4
1	2	8
1	3	11
1	4	2
1	5	11
1	6	4
1	7	1
1	8	4
1	9	11
1	10	12
1	11	21
1	12	15
1	13	13
1	14	10
1	15	18
1	16	11
1	17	6
1	18	10
1	19	11
1	20	12
1	21	14
1	22	7
1	23	11
1	24	7
2	1	3
2	2	3
2	3	3
2	4	2
2	5	4
2	6	5
2	7	9
2	8	7
2	9	13
2	10	25
2	11	17
2	12	10
2	13	11
2	14	15
2	15	12
2	16	22
2	17	19
2	18	9
2	19	8
2	20	6
2	21	10
2	22	8
2	23	8
2	24	5
3	1	2
3	2	5
3	3	1
3	4	3
3	5	4
3	6	5
3	7	7
3	8	13
3	9	9
3	10	16
3	11	16
3	12	11
3	13	16
3	14	12
3	15	6
3	16	13
3	17	17
3	18	18
3	19	9
3	20	14
3	21	9
3	22	8
3	23	8
3	24	6
4	1	9
4	2	4
4	3	3
4	4	6
4	5	0
4	6	4
4	7	3
4	8	14
4	9	11
4	10	8
4	11	10
4	12	10
4	13	13
4	14	14
4	15	4
4	16	10
4	17	17
4	18	13
4	19	18
4	20	6
4	21	19
4	22	9
4	23	10
4	24	9
5	1	9
5	2	4
5	3	1
5	4	2
5	5	0
5	6	3
5	7	6
5	8	11
5	9	14
5	10	13
5	11	11
5	12	14
5	13	14
5	14	13
5	15	8
5	16	13
5	17	12
5	18	12
5	19	13
5	20	9
5	21	10
5	22	8
5	23	8
5	24	7
6	1	3
6	2	4
6	3	4
6	4	6
6	5	1
6	6	6
6	7	5
6	8	9
6	9	13
6	10	16
6	11	17
6	12	14
6	13	21
6	14	9
6	15	14
6	16	7
6	17	10
6	18	11
6	19	11
6	20	13
6	21	13
6	22	13
6	23	9
6	24	6
7	1	2
7	2	5
7	3	2
7	4	5
7	5	5
7	6	5
7	7	4
7	8	6
7	9	10
7	10	15
7	11	16
7	12	9
7	13	30
7	14	9
7	15	14
7	16	5
7	17	10
7	18	12
7	19	9
7	20	11
7	21	22
7	22	7
7	23	9
7	24	6
